tweet,clean,date,time,link
Matapos lang tong NCOV magdadate na tayo hahah,matapos ncov magdadate hahah,2020-03-21,21:51:39+00:00,https://twitter.com/Coloberew/status/1241482630693978112
"UPDATED CLINIC SCHEDULE UNTIL FURTHER NOTICE DUE TO THE COVID-19 THREAT DR. GILBERT YANG STD DOCTOR GENITAL SKIN SPECIALIST Unit 907 Medical Plaza Ortigas Building, 25 San Miguel Avenue, Ortigas Center, Pasig… https://www.instagram.com/p/B-AseohHpN1/?igshid=csnzncc4zibp",updated clinic schedule notice due covid threat dr gilbert yang std doctor genital skin specialist unit medical plaza ortigas building miguel avenue ortigas center pasig,2020-03-21,21:31:23+00:00,https://twitter.com/Gilbert_Yang/status/1241477532249096192
"Teka wait lang!! With PGH being converted as a Covid dedicated hospital, paano yung majority ng mga tao na nagrerely sa services ng PGH? Kagaya ng mga kids from Silungan??? These kids rely on PGH for their chemo treatment. So paano na?? Free parin ba sa iba? ",teka wait pgh converted covid dedicated hospital majority tao nagrerely services pgh kagaya kids silungan kids rely pgh chemo treatment free parin,2020-03-21,21:29:59+00:00,https://twitter.com/pattitaofmnl/status/1241477177440272385
matatapos ka din covid-19 ,matatapos covid,2020-03-21,20:56:23+00:00,https://twitter.com/dengsacedon/status/1241468723686330368
Hoy Putang Ina mo wag ka magmamagaling kasi fake account ka. naman i wish mamatay ka sa covid sampu ng kag anak mo mamatay ka,hoy putang ina mo magmamagaling kasi fake account wish mamatay covid sampu kag anak mo mamatay,2020-03-21,20:21:56+00:00,https://twitter.com/DragonTaipan/status/1241460051400785921
"mukhang hahaba na buhay ng ibang tap na sa tagal ng panahon laging stress sa buhay eto na pagkakataon nyo makabawi at iwasan na muna stress, wag lng kayo lumabas ng bahay at social distancing lang, help prevent the spread of covid, relax, enjoy your moment with your fmily",mukhang hahaba buhay ibang tap tagal laging stress buhay pagkakataon nyo makabawi iwasan muna stress lng lumabas bahay social distancing help prevent spread covid relax enjoy moment fmily,2020-03-21,20:19:12+00:00,https://twitter.com/DragonTaipan/status/1241459363111268352
"COVID-19 is causing turmoil for anyone going to travel, such as flight cancellations, travel bans, closing of borders, immigration offices and application centers. We are continuously updating current travel information on our FB feed. #onlinevisa #visaassistance #manila",covid causing turmoil anyone going travel flight cancellations travel bans closing borders immigration offices application centers continuously updating current travel information fb feed,2020-03-21,20:14:11+00:00,https://twitter.com/arcticket/status/1241458102278422530
"bakit di nalang tayo maglaro, parang jueteng hulaan anu ang irereport na number ng doh the next day as the new count for covid case para naman abangan natin lagi ang daily report ng doh at mapigilan ang mga di mapirmi sa bahay at gusto pa rin gumagala kahit sinabi na stay home",maglaro parang jueteng hulaan irereport number doh next day new count covid case abangan natin daily report doh mapigilan mapirmi bahay rin gumagala sinabi stay home,2020-03-21,19:54:50+00:00,https://twitter.com/DragonTaipan/status/1241453233605730304
"dina ko papaka stress pag ganon at alisin ang toxic after covid g, with mayka HAHAHAHA iloveyoumore!! ",papaka stress ganon alisin toxic covid mayka iloveyoumore,2020-03-21,19:46:20+00:00,https://twitter.com/nariojuliaaa/status/1241451092304490496
"Waaaah! Gusto ko na ulit bumalik Korea, gusto ko na ulit ng malamig na lugar! After Covid-19 balik tayo dali na huhu @soooooomiloo @emilyknowss",waaaah ulit bumalik korea ulit malamig lugar covid dali,2020-03-21,19:37:02+00:00,https://twitter.com/_melacueto/status/1241448751874445313
"hoy @johnryan_923 ma appeal!! diko kilala pero taga smms HAHAHAHA, but stay strong sa inyo ng bebe mo covid lang yan char goodluck sa studies. Keep safe gbu!! ",hoy appeal diko kilala taga smms stay strong inyo bebe mo covid yan char goodluck studies keep safe gbu,2020-03-21,19:29:58+00:00,https://twitter.com/nariojuliaaa/status/1241446975192481792
"Singer Joey Bautista died due to COVID-19, wife says ",singer joey bautista died due covid wife says,2020-03-21,19:22:14+00:00,https://twitter.com/jcallueng77/status/1241445030847336449
Covid-19 Enhanced Community Quarantine Day 7 #Buryo,covid enhanced community quarantine day,2020-03-21,19:21:40+00:00,https://twitter.com/khevinferiz/status/1241444887771283456
dahil paubos na yung cash ko bibili nako ng pang ft ko bukas tapos walang labasan haha tangina Wala nakong pera TANGINAMO NCOV BASAG KAYO ,paubos cash bibili nako ft bukas tapos labasan nakong pera tanginamo ncov basag,2020-03-21,19:07:15+00:00,https://twitter.com/dadienash/status/1241441256212848640
"hoy @pearlblnctmo bait,talino tas chix tas sarap mo pa arat na inom na, covid lang yan sus HAHAHAHAHA jk, ss sa inyo duke covid lang yan teh char Keep slaying siz, more walwalan to come!! ",hoy bait talino chix sarap mo arat covid yan jk ss inyo duke covid yan char keep slaying walwalan,2020-03-21,18:48:09+00:00,https://twitter.com/nariojuliaaa/status/1241436452719702017
West Virginia Almost Lost Its First COVID-19 Patient’s Tests | Time ,west virginia almost lost first covid patients tests time,2020-03-21,18:39:02+00:00,https://twitter.com/benggarcia/status/1241434155637805056
Maintain social distance. Stay at home. #CoViD19 #CoViD_19 #SafeAtHome #iStayHomeFor – at Mall of Asia Arena,maintain social distance stay home mall asia arena,2020-03-21,18:29:04+00:00,https://twitter.com/the_grayedtruth/status/1241431649096589312
"Well, maybe I’m infected by #coronavirus or I do have a case called ’acid reflux’ Symptoms: - cough for almost 3weeks - shortness of breath after an activity or whenever I am laying on my bed. - there’s an ’acid’ taste or smell I’ve been having lately. And I don’t feel good. ",well maybe infected case called acid reflux symptoms cough almost 3weeks shortness breath activity whenever laying bed theres acid taste smell ive lately dont feel good,2020-03-21,18:27:18+00:00,https://twitter.com/Jhaslyn19/status/1241431202625662977
"wala namang masama kung gayahin natin ung ibang mga LGUs, isa lang kalaban natin dito COVID 19. BEST PRACTICES NA LANG!",namang masama gayahin natin ibang lgus kalaban natin covid best practices,2020-03-21,18:13:38+00:00,https://twitter.com/daeeebuu/status/1241427763724046337
" Faith lang kay God, matatapos din ang Covid ",faith kay god matatapos covid,2020-03-21,18:11:16+00:00,https://twitter.com/axiimelkteh/status/1241427167843475456
"miss ko na mga kaibigan ko legit huhu lalong lalo na yung mga naglulutungan nilang ""TANGINA/PUTANGINA MO, SITCH!"" ksjsksjs covid tama na pls ",miss kaibigan legit lalong lalo naglulutungan mo sitch ksjsksjs covid tama pls,2020-03-21,18:09:54+00:00,https://twitter.com/heyyowitsitch/status/1241426824640397317
tanginang nCov to gagawin pa yata akong single,tanginang ncov yata akong single,2020-03-21,18:08:34+00:00,https://twitter.com/rennatejada/status/1241426489280618497
Puta natatawa ako sa ncov na tu nabuhay tinder ko ahahha,puta natatawa ncov nabuhay tinder ahahha,2020-03-21,18:00:48+00:00,https://twitter.com/gaeababeyyy/status/1241424535015976963
Fuel prices down. Less traffic everywhere. Ideal driving conditions. But we all need to stay indoors. Be grateful that you have a home. Stay safe fam. #covid_19 @Metro Manila https://www.instagram.com/p/B-AULMFnQ2v/?igshid=1pfl3oy7615kk,fuel prices less traffic everywhere ideal driving conditions need stay indoors grateful home stay safe fam manila,2020-03-21,17:59:01+00:00,https://twitter.com/jomadevera/status/1241424086145871872
"House staff member under investigation for COVID-19 dies https://newsinfo.inquirer.net/1246007/congressional-staff-member-considered-pui-for-covid-19-dies So this is the 3rd employee of the House of Representative to be a possible covid19 casualty, the first two were from the House Printing office and the first one already passed away last wk",house staff member investigation covid 3rd employee house representative possible covid19 casualty first two house printing office first already passed away last wk,2020-03-21,17:50:28+00:00,https://twitter.com/DragonTaipan/status/1241421936518782977
You’re right. I was thinking of CCCC ( Covid Central Command Center ) that works all day to receive the concerns of the people at noon time focusing on health updates and direct the concerns to tight directions. IATF is tiring and they need support.,youre right thinking cccc covid central command center works day receive concerns people time focusing health updates direct concerns tight directions iatf tiring need support,2020-03-21,17:46:23+00:00,https://twitter.com/DrTonyLeachon/status/1241420908788477953
Can you send a link instead please? I read the WHO report saying research dated Dec.30 in pdf format. https://www.who.int › health-topics Coronavirus - World Health Organization,send link instead please read report saying research dated dec pdf format health topics coronavirus world health organization,2020-03-21,17:44:25+00:00,https://twitter.com/marktian88/status/1241420412342263809
"Condolences to the family of a fellow PLMayer who lost his battle to COVID-19. Thank you, Doc Israel (PLM Batch 2011) #COVID19PH #PLM #CollegeofMedicine #OspitalngMaynilaMedicalCenter",condolences family fellow plmayer lost battle covid thank doc israel plm batch,2020-03-21,17:37:09+00:00,https://twitter.com/rcdeguzmanG12/status/1241418583294373889
gusto ko na kumain sa fast food resto!!! tanginang covid to,kumain fast food resto tanginang covid,2020-03-21,17:31:39+00:00,https://twitter.com/_kxtencll/status/1241417198704320513
"Pray for us frontliners for the strength, courage and will to carry on. Fighting amidst of the risk from COVID 19.",pray us frontliners strength courage carry fighting amidst risk covid,2020-03-21,17:30:42+00:00,https://twitter.com/johnndaveeeaaaa/status/1241416959633190912
We stayed at Work for you. Please stay at Home for us. #Covid_19 #bangonpilipinas #FrontlinersPH,stayed work please stay home us,2020-03-21,17:29:59+00:00,https://twitter.com/ToxocaraKt/status/1241416779231969281
"Our frontliners around the are appealing, so please let us all be responsible to: 1. STAY AT HOME 2. NEVER LIE about your condition when asked about it esp when exposed to a person infected with COVID-19 3. OBSERVE SOCIAL DISTANCING #COVID19PH",frontliners around appealing please let us responsible stay home never lie condition asked esp exposed person infected covid observe social distancing,2020-03-21,17:23:29+00:00,https://twitter.com/Miguel_Aiko/status/1241415144707514368
@VicoSotto @IskoMoreno mga mayors! Pano po ba lumipat sa mga syudad nyo gusto ko na po kaseng lumipat ng residence after this NCOV outbreak. Dun po tyo sa ramdam ang ginagawa. Productive citizen po ako promise. #Pampon,mayors lumipat syudad nyo kaseng lumipat residence ncov outbreak dun tyo ramdam productive citizen promise,2020-03-21,17:20:31+00:00,https://twitter.com/AshGarciano/status/1241414398163312640
awiee miss den kitaa buset covid haha,awiee miss kitaa buset covid,2020-03-21,17:19:10+00:00,https://twitter.com/kodyaldrine1/status/1241414059552960512
"@VicoSotto mayor!!! Pano po ba lumipat sa syudad nyo? Matapos lang tong NCOV na toh, we are planning to move na Pasig, parang mas may tulong pa kayo #PaamponMayorVico",mayor lumipat syudad nyo matapos ncov planning move pasig parang tulong,2020-03-21,17:10:24+00:00,https://twitter.com/AshGarciano/status/1241411851335790592
Ngayon na-appreciate ko na yung pagsakay sakay sa jeep. pagbyahe ng naka commute. Matatapos din itong Covid 19. ,appreciate pagsakay sakay jeep pagbyahe naka commute matatapos itong covid,2020-03-21,17:08:04+00:00,https://twitter.com/NeviceMarie/status/1241411263327948800
:((( tagal alis covid :((,tagal alis covid,2020-03-21,16:45:08+00:00,https://twitter.com/jonathaaanjuaan/status/1241405494104739840
"#Day7 #quarantine #covid_19 @Quezon City, Philippines https://www.instagram.com/p/B-AKaB-DE0i/?igshid=ekbl4dhrt0sg",city philippines,2020-03-21,16:33:41+00:00,https://twitter.com/kuyareggiev/status/1241402612534018050
Utang na loob gobyerno makinig naman kayo sa medical experts and crisis management experts! #Covid #Covid_19,utang loob gobyerno makinig medical experts crisis management experts,2020-03-21,16:32:46+00:00,https://twitter.com/francescruzph/status/1241402381398470657
"GOODBYE, AND THANKS FOR ALL THE WHISKEY The last Old-Fashioned of my life before COVID-19 became too real #oldfashioned #yesplease #disruption #quarantine #lockdown #COVID19 #pandemic @Yes Please https://www.instagram.com/p/B-AJv_InpRk/?igshid=47d167hh9z50",goodbye thanks whiskey last old fashioned life covid became real please,2020-03-21,16:27:55+00:00,https://twitter.com/aapatawaran/status/1241401161091031040
May covid kana pag dating mo dito hahahahaha,covid kana dating mo,2020-03-21,16:24:53+00:00,https://twitter.com/japulpulaan/status/1241400398801301505
That’s probably us after COVID-19. ,thats probably us covid,2020-03-21,16:22:15+00:00,https://twitter.com/jcfontsize/status/1241399732770967552
hnd nman po ata symptom ng covid yung msakit ang tyan noh,hnd nman ata symptom covid msakit tyan noh,2020-03-21,16:21:27+00:00,https://twitter.com/ayakajagi/status/1241399531800891392
TANGINA THIS MADE ME CRY FUCK COVID-19 I MISSSSS U MOREEEE SISSSYYY ,made cry fuck covid misssss moreeee sisssyyy,2020-03-21,16:19:21+00:00,https://twitter.com/jushuamanuel16/status/1241399004493049858
All those times unspent with my daughter. Ang laki laki na ng anak ko lumaki ang anak kong wala ako sa tabi niya. And this whole COVID thing makes it even more personal. Gusto ko lang ma-make sure na safe ang anak ko parati ,times unspent daughter laki laki anak lumaki anak tabi whole covid thing makes even personal make sure safe anak parati,2020-03-21,16:18:48+00:00,https://twitter.com/monicapaclarin/status/1241398866450108417
Namiss ko yung kakain sa 7/11ng gantong oras yawa kasi COVID lungkot tuloy,namiss kakain 11ng gantong oras yawa kasi covid lungkot tuloy,2020-03-21,16:14:09+00:00,https://twitter.com/JerichoPasko/status/1241397698005106689
"CALLING FOR DONATIONS!!! The affected students of COVID-19 ECQ are in need of your support – both in cash and in kind. Upon consultation, most students have difficulties in providing their basic needs such as food and water. According to them, their stock of foods will last for ",calling donations affected students covid ecq need support cash kind upon consultation students difficulties providing basic needs food water according stock foods last,2020-03-21,16:13:37+00:00,https://twitter.com/mrcjpulido/status/1241397562365509632
"When the COVID-19 emergency ends, do a good deed for the rest of 2020.",covid emergency ends good deed rest,2020-03-21,16:13:32+00:00,https://twitter.com/tjrcuenca/status/1241397543017168896
*nasa cr kameng dalawa ni mama* me: ma paihi mama: namana nako sayo ang tagal sa cr kase nag seselpon me: (tumawa) ma: matapos lg yang covid na yan mamamasyal tayo ,nasa cr kameng mama paihi mama namana nako sayo tagal cr kase nag seselpon tumawa matapos lg yang covid yan mamamasyal,2020-03-21,16:10:29+00:00,https://twitter.com/camsfeyey/status/1241396771902779393
So ayun po epekto ng quarantine #staysafe #Covid_19PH #boredathome,ayun epekto quarantine,2020-03-21,16:09:57+00:00,https://twitter.com/AdriannnTorress/status/1241396639769624576
"This concept of bringing religion into COVID-19 has to stop. I don’t get it, why up till now people are still saying: if your time has time you will die anyway. Dei pundek, stop being an asshole can or not?",concept bringing religion covid stop dont get people still saying time time anyway pundek stop asshole,2020-03-21,16:09:25+00:00,https://twitter.com/SzeHwang/status/1241396504046129152
Gaga aida anong ncov hahahah,gaga aida anong ncov hahahah,2020-03-21,16:09:21+00:00,https://twitter.com/CeeejhayGrande/status/1241396490242646016
WHAAHHAHAHAHAHAHAHAHAHAHAHAHAHAH tangina pinapaalala pa nga lt nanaman sayo girl hoy pagtapos ng ncov galaaaa,whaahhahahahahahahahahahahahahah pinapaalala nga lt nanaman sayo girl hoy pagtapos ncov galaaaa,2020-03-21,16:08:05+00:00,https://twitter.com/xiaaaaesssja_/status/1241396169462276096
Sana signs nalang ng ncov to.,signs ncov,2020-03-21,16:05:25+00:00,https://twitter.com/dj_kobeast/status/1241395496733704193
After covid pre! HAHAHA see u!,covid pre see,2020-03-21,16:05:22+00:00,https://twitter.com/Nyeeeenye/status/1241395485904007168
Covid Vaccine Covid Vaccine Covid Vaccine Covid Vaccine Covid Vaccine ,covid vaccine covid vaccine covid vaccine covid vaccine covid vaccine,2020-03-21,16:03:21+00:00,https://twitter.com/captainsimoon/status/1241394977608880129
sis i really need to see alma! Tagal mo umalis covid,sis really need see alma tagal mo umalis covid,2020-03-21,16:00:31+00:00,https://twitter.com/2000katee/status/1241394265881587713
Pizza agad sa snr ang pupuntahan ko pag nawalan nayan ncov nayan,pizza agad snr pupuntahan nawalan nayan ncov nayan,2020-03-21,15:59:52+00:00,https://twitter.com/Paulskie0/status/1241394103251681280
lord.sana wag ng kumalat lalo yung ncov 19:((,lord kumalat lalo ncov,2020-03-21,15:58:40+00:00,https://twitter.com/ImTeyaAshley/status/1241393799240302593
mga babae. pagkatapos ng COVID 19. MAG fopd trip tayo sa opis ,babae covid fopd trip opis,2020-03-21,15:54:34+00:00,https://twitter.com/NeviceMarie/status/1241392766577283075
May balak pa lang pumunta sa birthday ko si mamaulang kasama si general potek bwiset ka covid!!!!,balak birthday mamaulang kasama general potek bwiset covid,2020-03-21,15:52:22+00:00,https://twitter.com/ravenrosee/status/1241392212438470658
Making a big decision tonight...submitting for a clinical study for COVID medication. I hope it works and no side effects dear Lord – at St. Luke’s Medical Center,making big decision tonight submitting clinical study covid medication hope works side effects dear lord st lukes medical center,2020-03-21,15:36:05+00:00,https://twitter.com/leodelrosario77/status/1241388115018649601
picture muna bago mag ka ncov – at Cainta Greenpark Village,picture muna ncov cainta greenpark village,2020-03-21,15:35:02+00:00,https://twitter.com/knnthmanuel_/status/1241387850962096128
Pag wala talaga ng covid na yan pupunta ako simbahan tas sabay intra agad tangina HAHAHAHAHAH,covid yan pupunta simbahan sabay intra agad hahahahahah,2020-03-21,15:28:00+00:00,https://twitter.com/ramosjoshua9/status/1241386083465580544
"After ng COVID CRISIS na to, daming ganap na ipagdiwang! Lord Pls po tapusin nyo na tong COVID na to. ",covid crisis daming ganap ipagdiwang lord pls tapusin nyo covid,2020-03-21,15:27:43+00:00,https://twitter.com/nizzaho/status/1241386012422492160
can’t wait to hear that our world is free from covid-19 ,cant wait hear world free covid,2020-03-21,15:25:36+00:00,https://twitter.com/annengbenitez/status/1241385477699076096
"pa deliver mo nalang po please, ayaw ko po magka covid HAHAHAHAHA jk",deliver mo please ayaw magka covid jk,2020-03-21,15:15:17+00:00,https://twitter.com/nariojuliaaa/status/1241382881030590465
Naka ilang replay na ako ng UAAP 82 kakainis na NCOV to ee. Gow tayo ah.,naka ilang replay uaap kakainis ncov ee gow ah,2020-03-21,15:14:32+00:00,https://twitter.com/leeyouontop/status/1241382694879019010
A colleague died because of “pneumonia”. We all know what that means. She lives in GH and travelled to Taiwan recently. She was tested for COVID-19 but until now wala pa rin results. Putanginang gobyerno ‘to hihintayin munang mamatay lahat ng tao bago mag mass testing.,colleague died pneumonia know means lives gh travelled taiwan recently tested covid rin results putanginang gobyerno hihintayin munang mamatay tao mass testing,2020-03-21,15:12:44+00:00,https://twitter.com/_chrisbello/status/1241382240468135937
This Covid-19 makes me realize how lucky I am With my Family ,covid makes realize lucky family,2020-03-21,15:11:29+00:00,https://twitter.com/Troyvaldez101/status/1241381925597536257
PNP denied the circulating messages online that special military helicopters will spray pesticide around the country at midnight against COVID-19. @PTVph,pnp denied circulating messages online special military helicopters spray pesticide around country midnight covid,2020-03-21,15:11:14+00:00,https://twitter.com/BBernardoPTV/status/1241381860707414017
We are humbly asking for donations po. Any will do. Please help us fight Covid-19. ,humbly asking donations please help us fight covid,2020-03-21,15:08:23+00:00,https://twitter.com/daphdafferr/status/1241381145335357440
You were from covid but you might acquire sexually transmitted diesease. But its your life. Go on.,covid might acquire sexually transmitted diesease life go,2020-03-21,15:06:47+00:00,https://twitter.com/quelismism/status/1241380743554535424
"Hoy magtutulog na lolo, prone ka sa covid-19!!!",hoy magtutulog lolo prone covid,2020-03-21,15:05:11+00:00,https://twitter.com/ryetalksabout/status/1241380339815047169
pag tapos netong ncov na to dami kona agad gala,tapos netong ncov dami kona agad gala,2020-03-21,15:04:54+00:00,https://twitter.com/jeennoblezaa/status/1241380270764253184
"A good friend of mine just updated me na patay na papa nya right after mamatay ang dad nya. Ang bigat sa dibdib di kita mapuntahan ngaun. Ncov, this is torture ",good friend updated patay papa nya right mamatay dad nya bigat dibdib mapuntahan ngaun ncov torture,2020-03-21,15:04:32+00:00,https://twitter.com/gaeababeyyy/status/1241380177252237312
"To all the frontliners, Salamat sa MALASAKIT! May our Good Lord bring back all your sacrifices and efforts #Covid_19 @belobeauty",frontliners salamat malasakit good lord bring back sacrifices efforts,2020-03-21,15:04:21+00:00,https://twitter.com/BENDITA14/status/1241380131848859649
"Oo nga, kung hindi pa siguro Covid hindi pa kame mag makasama-sama Ps. Sorry sa dalawa kong kaibigan na ginulo namin sa pag tratrabaho #Kababata #Saturday #Goodvibes",oo nga siguro covid makasama ps sorry kaibigan ginulo tratrabaho,2020-03-21,15:03:04+00:00,https://twitter.com/Gunds_/status/1241379807222358017
DAPAT PAG TAPOS NG COVID TANOD NAMAN BAWAL LUMABAS #Covid_19,tapos covid tanod bawal lumabas,2020-03-21,14:59:07+00:00,https://twitter.com/manalojohnmarcV/status/1241378814942310406
Covid uwi kana pls.. ,covid uwi kana pls,2020-03-21,14:58:29+00:00,https://twitter.com/wanpaulopunzal/status/1241378654128467969
"Anumang sakuna o problema ang dumating, basta tulong-tulong at sama-sama, lahat ay kayang-kaya. Pairalin natin ang malasakit sa kapwa. Buong puwersa nating labanan ang COVID-19!… https://www.instagram.com/p/B9__CEapmcV/?igshid=1p3j4qgnulw98",sakuna problema dumating basta tulong tulong kayang pairalin natin malasakit buong puwersa nating labanan covid,2020-03-21,14:54:43+00:00,https://twitter.com/gorgyrulz/status/1241377704672235525
"LSS ""the Covid will not get me today"" galing mo @keun16308352. Best Song of the night. Also dami kong tawa tonight. Thank you OT5 @jah447798 @keun16308352 @stellajero_ @JoshCullen_s @imszmc. Pinuno pwede din ba ako sumama sa milky way . Good night guys",lss covid get today galing mo best song night dami tawa tonight thank ot5 pinuno pwede sumama milky way good night guys,2020-03-21,14:53:16+00:00,https://twitter.com/iampurpleink/status/1241377341667823617
Nagugutom na naman ako Kaso ONCE A DAY Lang ako pde kumain para ung stocks ko umabot ng 1month #NOworkNOpay #Covid_19,nagugutom kaso day pde kumain stocks umabot 1month,2020-03-21,14:52:10+00:00,https://twitter.com/jaeminblake/status/1241377066269855749
Matindi pa sa COVID-19 ang toyo ng mga babae ,matindi covid toyo babae,2020-03-21,14:50:39+00:00,https://twitter.com/bentotskii/status/1241376681295638529
GUSTO KO NA GUMALA POTA KA COVID,gumala pota covid,2020-03-21,14:48:05+00:00,https://twitter.com/kenmatarundo/status/1241376036270379009
Wala mgang covid pero UTI magkakaroon na. Pancit canton pa more,mgang covid uti magkakaroon pancit canton,2020-03-21,14:46:32+00:00,https://twitter.com/qttoriaga/status/1241375646263083008
"BREAKING: Congress will hold a special session on Monday to discuss the country’s response to the COVID-19 pandemic, Senate President Tito Sotto says",breaking congress hold special session monday discuss countrys response covid pandemic senate president tito sotto says,2020-03-21,14:43:55+00:00,https://twitter.com/kim_badbadon/status/1241374990148046851
Congress will convene in a special session on Monday to discuss funding for projects that will provide support for over 16 million families nationwide affected by the COVID-19 pandemic. @cnnphilippines,congress convene special session monday discuss funding projects provide support million families nationwide affected covid pandemic,2020-03-21,14:43:42+00:00,https://twitter.com/kim_badbadon/status/1241374934737096704
Infographics ng mga Terminolohiya Kaugnay ng COVID-19 Tignan ang buong album: https://www.facebook.com/147783305383422/posts/1503522453142827/?d=n #FilipinoDapat,infographics terminolohiya kaugnay covid tignan buong album,2020-03-21,14:42:51+00:00,https://twitter.com/updcalsc/status/1241374719028244483
"The best way to test with #Covid_19 is to cough on these politicians, then let’s see if their result will turn into positive or negative. Kakapal ng mukha. #MassTestingPH",best way test cough politicians lets see result turn positive negative kakapal mukha,2020-03-21,14:38:03+00:00,https://twitter.com/sonnymata/status/1241373511148429312
May pari pong kaibigan ang namatay dahil sa covid.,pari pong kaibigan namatay covid,2020-03-21,14:38:00+00:00,https://twitter.com/markulet10/status/1241373500268412928
"The best way to test with #Covid_19 is to cough on these politicians, then let’s see if their result will turn into positive or negative. Kakapal ng mukha. #MassTestingPH",best way test cough politicians lets see result turn positive negative kakapal mukha,2020-03-21,14:34:33+00:00,https://twitter.com/sonnymata/status/1241372632139743232
Yan talaga prob ng doctors dito huhu paano mga non covid px ,yan prob doctors covid px,2020-03-21,14:28:55+00:00,https://twitter.com/denise_nicola/status/1241371212535590912
