tweet,clean,date,time,link
"Kapag ako talaga hindi na natutuwa, kahit walang Covid kaya kong mag-distancing hehe!",natutuwa covid distancing hehe,2020-03-20,05:12:14+00:00,https://twitter.com/iamailnn_/status/1240868731288354816
Things we have to do to stop the spreading of #coronavirus19 #covıd19 #covid_19 #enhancecommunityquarantine #lockdown #philippines #philippines #snapchat #snapchat #Snapping #JquesanSnapchat… https://www.instagram.com/p/B98So-xD53P/?igshid=1zdfrsz5hkbp,things stop spreading,2020-03-20,04:28:40+00:00,https://twitter.com/Jquesan/status/1240857765951791105
Kht nmn wlang ncov. Ganito ako mag flush ng toilet lalo na kpg wla tissue. Kpg may tissue i use my hands with tissue. Hahaha. ,kht nmn wlang ncov ganito flush toilet lalo kpg wla tissue kpg tissue use hands tissue,2020-03-20,02:39:30+00:00,https://twitter.com/WorkHOElicTwink/status/1240830295479205888
"My tita on covid-19: hindi yan virus, lason yan na nirelease ng China dinala ng hangin dito. *Me, a BSMT grad, RMT, former RITM employee and an MS Public Health Student in UPM: ",tita covid yan virus lason yan nirelease china dinala hangin bsmt grad rmt former ritm employee ms public health student upm,2020-03-20,01:41:53+00:00,https://twitter.com/jovaniel_mads/status/1240815796516880384
"@FrankCaliendo remember at the end of War of the Worlds the speech Morgan Freeman gave that the aliens were dead the minute they drank our water ate our food breathed our air, and humans have earned our protection from disease after millions of years so what gives #CoronaVirus",remember worlds speech morgan freeman gave aliens dead minute drank water ate food breathed air humans earned protection disease millions years gives,2020-03-19,23:58:51+00:00,https://twitter.com/raymerrill/status/1240789864942956544
"Lord, kung si Duterte lang ang kailangan niyo para matapos ang COVID 19 please kunin niyo na. #ParaSaBayan",lord duterte niyo matapos covid please kunin niyo,2020-03-19,19:54:17+00:00,https://twitter.com/AngMayoraMo/status/1240728318451712001
"Russia deploying coronavirus disinformation to sow panic in West,... ",russia deploying coronavirus disinformation sow panic west,2020-03-19,15:22:38+00:00,https://twitter.com/DragonTaipan/status/1240659955121672193
People of the Philippines has a new game: Padamihan ng infected peeps... So whos winning na? Q.C.? The more labas the more chances of winning! So labas na... Gala na... NCOV na! #NCOV #InfectionGame #CarrierGame,people philippines new game padamihan infected peeps whos winning labas chances winning labas gala ncov,2020-03-19,15:17:15+00:00,https://twitter.com/aejhayrlopez/status/1240658602324422657
"According to Rob rubin of mysterium phil awhile ago on fb live How long does the covid crisis in the Phil last? Number 6 is the answer (6 days, 6 weeks, 6 months it depends) Number of positive after the covid crisis? Number 12 (1200? 12,000? 120,000?) Well let’s see.",according rob rubin mysterium phil awhile ago fb live long covid crisis phil last number answer days weeks months depends number positive covid crisis number well lets see,2020-03-19,15:00:16+00:00,https://twitter.com/humanupgrade/status/1240654328681005057
Self isolAte yourself as much as possible. Then buy medicines to treat the cough. Also drink vitamin c (1000mg) to boost your immune system. If ever that is covid 19 you can fight it over at home just drink the right meds for cough and incase fever. If it gets worst-,self isolate much possible buy medicines treat cough drink vitamin 1000mg boost immune system ever covid fight home drink right meds cough incase fever gets worst,2020-03-19,14:47:42+00:00,https://twitter.com/veryleandrous/status/1240651163009044480
Ngayon alam ko na bat naghoard ng tissue nung iannounce ang community quarantine. Kaw ba naman 1 month di lalabas at laging nasa room. Mangangailangan ka talaga ng tissue. #covid_19PH,alam bat naghoard tissue iannounce community quarantine kaw month lalabas laging nasa room mangangailangan tissue,2020-03-19,13:53:05+00:00,https://twitter.com/signorenzie/status/1240637421676449794
My inner childhood is shaking. Brilyante heal the people infected with COVID-19 lmao #EncantadiaReRun,inner childhood shaking brilyante heal people infected covid lmao,2020-03-19,12:41:07+00:00,https://twitter.com/aegeusvito/status/1240619308650098688
Covid yung spinal chord ko ang sakit sakit na kakahilata dahil sa quarantine pls lang,covid spinal chord sakit sakit kakahilata quarantine pls,2020-03-19,12:31:25+00:00,https://twitter.com/JohnLemoooon/status/1240616869729452033
"But as any ""enlightened"" internet cult follower would do, they brand these vets as ""paid by pet food companies."" Now with all this shit happening, I wonder what these idiots think of COVID 19 - a disease from mishandled meat, that has now crippled the entire world.",enlightened internet cult follower would brand vets paid food companies shit happening wonder idiots think covid disease mishandled meat crippled entire world,2020-03-19,09:09:53+00:00,https://twitter.com/Rhomuell/status/1240566151895085057
"Nagkaka ubusan na ng mask, Kaya bra mask na lang ang ginamit ko #mask #bra #covid_19 #bramask @Concentrix Megamall https://www.instagram.com/p/B96LTgwnjwA/?igshid=m1wip85xigkn",nagkaka ubusan mask bra mask ginamit megamall,2020-03-19,08:46:05+00:00,https://twitter.com/jbiadog/status/1240560160797364229
"Thank you, Lord. For this MOMENT OF CELEBRATION!!! WE GOT THE FDA APPROVAL TODAY of SEEGENE COVID 19 PCR-based testing kit from Korea. The FIRST KIT in the world developed through Artificial Intelligence. ",thank lord moment celebration got fda approval today seegene covid pcr based testing kit korea first kit world developed artificial intelligence,2020-03-19,04:53:14+00:00,https://twitter.com/iamDONEweLL/status/1240501562683699200
DOH clarifies COVID-19 not airborne virus. #StaySafe,doh clarifies covid airborne virus,2020-03-19,03:26:57+00:00,https://twitter.com/lionelfabros/status/1240479848172150784
Tara inom ng alcohol iwas sa covid haha,tara alcohol iwas covid,2020-03-18,17:13:48+00:00,https://twitter.com/LvlyhrtTjns_/status/1240325543293120512
Bampira ba mga nasa gobyerno? Hilig nila sa late announcements/briefings. Isang mabisang panlaban po sa veerus is a good sleep to boost your immune system. #coronavirus #nCoV19 #COVID2019,bampira nasa gobyerno hilig late announcements briefings mabisang panlaban veerus good sleep boost immune system,2020-03-18,14:51:56+00:00,https://twitter.com/renoarnel/status/1240289840395980800
Saka itong covid sinadya din spread dito sa pilipinas alam niyo kung bakit sa franchise ng abscbn para magalit ang mga tao kay tatay digong. Kasi favorite niya ang mga chinese kaya yun ang way nila para magalit ang taong bayan sa kanya. Di niyo nahahalata?,saka itong covid sinadya spread pilipinas alam niyo franchise abscbn magalit tao kay tatay digong kasi favorite chinese way magalit taong bayan niyo nahahalata,2020-03-18,14:17:54+00:00,https://twitter.com/gurlbehindthisb/status/1240281275916619780
"Akala nating Pinoy, di tayo tatamaan ng CoVid 19, dahil malakas ang resistensya natin, napakainit dito, mahilig tayo maligo. Yun pala, wala lang tayong testing kits. Kelan lang dumating.. ",akala nating pinoy tatamaan covid malakas resistensya natin napakainit mahilig maligo pala tayong testing kits kelan dumating,2020-03-18,13:08:49+00:00,https://twitter.com/jazjez08/status/1240263890883108864
"Benta benta kayo ng over priced alcohol, mask, vitamins, medial supplies gano ba kasure na maliligtas kami nyan sa COVID-19? ",benta benta priced alcohol mask vitamins medial supplies gano kasure maliligtas nyan covid,2020-03-18,10:52:08+00:00,https://twitter.com/arosettemsulit/status/1240229496344563712
Since medyo hindi okay pakiramdam ko this last 2 days and wala akong gana kumain naisipan kong mag ganito.. lemon juice kasi yung lalamunan ko.. Oppsss! Don’t panic this is not ncov nakailang matamis kasi ako kagabi tapos hindi ako nakainum ng tubig ng maayos so ayun! ,since medyo okay pakiramdam last days akong gana kumain naisipan ganito lemon juice kasi lalamunan oppsss dont panic ncov nakailang matamis kasi kagabi tapos nakainum tubig maayos ayun,2020-03-18,09:08:09+00:00,https://twitter.com/eungi__sso8/status/1240203327888973824
"Nanunuod ako ng kingdom ngayun!! Peor pumapasok sa isip ko yung Covid-19 case ngayun! What if ganito ka lala yung sakit?Hayy my mga lockdown di nangyayari, my mga leaders din na sarili lang nila iniisio nila.",nanunuod kingdom ngayun peor pumapasok isip covid case ngayun ganito lala sakit hayy lockdown nangyayari leaders iniisio,2020-03-18,06:51:53+00:00,https://twitter.com/chuckigun94/status/1240169031589486593
Proof that COVID is not some form of man-made bioweapon ,proof covid form made bioweapon,2020-03-18,05:44:05+00:00,https://twitter.com/rickrollvicvb/status/1240151969181859842
Nakakatakot naa ang COVID 19. Airborne na siya. May safe pa bang lugar? #COVID2019,nakakatakot naa covid airborne safe bang lugar,2020-03-18,05:05:03+00:00,https://twitter.com/mcjbcb4500/status/1240142148676259840
airborne na ang ncov! ingat ingat ,airborne ncov,2020-03-18,04:28:51+00:00,https://twitter.com/iamprei/status/1240133038278836229
"Pag nag vlog ba ako while on quarantine, ang title ng video ko ay coVID?",nag vlog quarantine title video covid,2020-03-18,04:04:44+00:00,https://twitter.com/bonjinglebells/status/1240126967590125569
"What’s scarier than covid-19? The powerful people ""taking care"" of us.",whats scarier covid powerful people taking us,2020-03-18,03:20:39+00:00,https://twitter.com/dancingdaninini/status/1240115873689538561
"Kumbaga, yung death mo parang jigsaw puzzle. 99% nun yung mismong sakit mo. Tapos yung last piece ng puzzle yung COVID-19. Yung virus yung missing piece ng puzzle sa death mo.",kumbaga death mo parang jigsaw puzzle mismong sakit mo tapos last piece puzzle covid virus missing piece puzzle death mo,2020-03-18,03:00:12+00:00,https://twitter.com/maryphernelia/status/1240110726921867264
"Nakakagago. Parang hundi naman worth ng panic ng buong mundo yung COVID-19 na yan. It’s just like any other flu. Mas matagal lang yung recovery period, but you’,ll get better from it, lalo na kung wala kang problema sa health mo. ",nakakagago parang hundi worth panic buong mundo covid yan like flu matagal recovery period get better lalo kang problema health mo,2020-03-18,02:48:43+00:00,https://twitter.com/maryphernelia/status/1240107838988374016
"Dahil sa walang mabiling face masks, napilitan si Manong Arnel na gumamit nalang ng sanitary napkin bilang face mask kahit pa maging katawatawa siya sa paningin ng iba. #COVID19 #coronavirus ",mabiling masks napilitan manong arnel gumamit sanitary napkin mask katawatawa paningin,2020-03-18,01:28:16+00:00,https://twitter.com/JohnsonManabat/status/1240087594764865536
COVID 19 IS A BIO WEAPON,covid bio weapon,2020-03-17,18:51:54+00:00,https://twitter.com/jffnck/status/1239987842589143040
"#CORONAVIRUS TIPS TO BOOST IMMUNE SYSTEM WHILE STAYING HOME, KAYA NATIN TO! (WE CAN DO THIS!) 1. DRINK LOTS OF WATER (AND HOT WATER) + EAT HEALTHH 2. TAKE VITAMINS + FOOD SUPPLEMENTS. 3. DO NOT STRESS AND… https://www.instagram.com/p/B92DdEKHPB2/?igshid=19i8l8lgrk5ef",tips boost immune system staying home natin drink lots water hot water eat healthh vitamins food supplements stress,2020-03-17,18:20:31+00:00,https://twitter.com/ChefworksManila/status/1239979946673614859
"with death comes new life, hence COVID BRYANT.... LOL, 2020 in 2 words ",death comes new life hence covid bryant lol words,2020-03-17,16:58:38+00:00,https://twitter.com/carmelaloo08/status/1239959337461669893
"Naloloka ako doon sa for valiation ng cases ng CoViD-19 sa Diliman Doctors Hospital, huhu naaalala ko lang nung work immersion ko eh malapit lang ako ron. Tas ngayon pugaran na ng mga may pandemic disease :((",naloloka valiation cases covid diliman doctors hospital naaalala work immersion malapit ron pugaran pandemic disease,2020-03-17,16:47:50+00:00,https://twitter.com/JeyemTumpang/status/1239956623210074113
Covid 19 left the group,covid left group,2020-03-17,16:01:42+00:00,https://twitter.com/theocolinsparks/status/1239945013405990912
"Mas nakakatakot ang lockdown kesa sa covid. (@University Of Perpetual Help Dalta Medical Center - @uphmclaspinas in Las Pinas City, NCR, Philippines) ",nakakatakot lockdown kesa covid perpetual help dalta medical center pinas city ncr philippines,2020-03-17,15:06:09+00:00,https://twitter.com/RoxetteDacoycoy/status/1239931030167060480
nakakatakot yung covid-19 pero mas nakakatakot yung tunog ng curfew #ThePurge,nakakatakot covid nakakatakot tunog curfew,2020-03-17,14:17:56+00:00,https://twitter.com/khaluwi/status/1239918899925139456
Wag kayong matakot sa NCOV dba malinis naman kayo? Tipid kayo sa alcohol!,kayong matakot ncov dba malinis tipid alcohol,2020-03-17,13:07:58+00:00,https://twitter.com/jubipretty/status/1239901289347084288
ANTI COVID 19 4 NA ALCOHOL PARA SA PAMPATIBAY NG IMMUNE SYSTEM ,anti covid alcohol pampatibay immune system,2020-03-17,12:49:00+00:00,https://twitter.com/FrancisGadiana/status/1239896516518498304
State of calamity ba dahil ba sa coronavirus o sa Duterte Veerus!?! I really wanna know... ,state calamity coronavirus duterte veerus really wan know,2020-03-17,10:33:22+00:00,https://twitter.com/itsenzobishes/status/1239862383205437441
This COVID-19 pandemic and the ongoing enhanced community quarantine is teaching us a valuable lesson...the virus brings a healing experience to us in the process of reckoning. #covid_19 #healing #wecandothis… https://www.instagram.com/p/B901OeMhVi9/?igshid=gxkqjz9kuxm7,covid pandemic ongoing enhanced community quarantine teaching us valuable lesson virus brings healing experience us process reckoning,2020-03-17,06:56:57+00:00,https://twitter.com/chocopurplemint/status/1239807919169953794
"That’s really terrible. And we also have this theory that it’s possible that people who got sick (flu-like symptoms) around last few months of 2019 were probably infected with COVID-19 but it wasn’t known yet. I had the same symptoms last year, twice on Nov and Dec. Scary shit.",thats really terrible theory possible people got sick flu like symptoms around last months probably infected covid wasnt known yet symptoms last year twice nov dec scary shit,2020-03-17,06:31:55+00:00,https://twitter.com/catroach/status/1239801622034710528
Let’s do sosyal distancing also people. Sosyal distancing= yung lalayo muna sa mga sosyal na gawain at bagay- bagay kasi baka maubos ang pera #SocialDistancing #coronavirus #COVID2019 #LuzonQuarantine #laughteristhebestmedicine,lets sosyal distancing people sosyal distancing lalayo muna sosyal gawain bagay bagay kasi baka maubos pera,2020-03-17,06:10:16+00:00,https://twitter.com/janreuel/status/1239796173541531648
COVID 19 WARNING: GOVERNMENT IS DANGEROUS TO YOUR HEALTH!!!!!!,covid warning government dangerous health,2020-03-17,03:00:02+00:00,https://twitter.com/ErwinChubs/status/1239748299185217536
Sad reality Covid is coming - People: Panic Jesus is coming - People: Ignore,sad reality covid coming people panic jesus coming people ignore,2020-03-17,02:52:08+00:00,https://twitter.com/gurlbehindthisb/status/1239746312347611136
"When Federico Tiozen Jr. and his son Federico III heard of the threat of COVID-19, they started fitting cardboard boxes on the seats of their jeepneys to enforce ""social distancing"" among passengers as a way to prevent the spread of the virus. Pictures for @GettyImagesNews",federico tiozen jr federico iii heard threat covid started fitting cardboard boxes seats jeepneys enforce social distancing among passengers way prevent spread virus pictures,2020-03-17,02:26:26+00:00,https://twitter.com/eacayan/status/1239739842403004416
"COVID-19 ka lang, single kami. Expect ata kami sa Social Distancing at No Physical Contact. ",covid single expect ata social distancing physical contact,2020-03-16,23:45:09+00:00,https://twitter.com/addyrajofficial/status/1239699253720518656
PANIC BUYING VLOG! WATCH HERE: https://youtu.be/uPOEyJY_BDY SUBSCRIBE NOW! #SocialDistancing #coronavirus #COVID19 #CoronavirusOutbreak #COVID2019 #QuarantineLife #,panic buying vlog watch subscribe,2020-03-16,22:04:37+00:00,https://twitter.com/joeypalogme/status/1239673953037082624
Me reading “how to boost the immune system against coronavirus; get enough sleep” article at 4am mehehehe ,reading boost immune system coronavirus get enough sleep article 4am mehehehe,2020-03-16,20:24:15+00:00,https://twitter.com/bbphia_/status/1239648694875467777
As of today wla akong nakitang social distancing... __ Sa relasyon nyo lang. charot! #SocialDistancing #CommunityQuarantine #Covid_19PH #C0R0NA #Covid19 #coronavirus #CoronaVirusUpdates #CharuteraKaGhorl,today wla akong nakitang social distancing relasyon nyo charot,2020-03-16,12:22:30+00:00,https://twitter.com/hungrybyaheros/status/1239527460565176320
Our Senator who practiced social distancing/sanitary precautions still got the COVID-19 virus. I understand the need to work for most but there won’t be much work to do at all if this becomes a full-blown pandemic. Even staying at home for a week will have a compound impact. ,senator practiced social distancing sanitary precautions still got covid virus understand need work wont much work becomes full blown pandemic even staying home week compound impact,2020-03-16,11:52:11+00:00,https://twitter.com/erineeman/status/1239519830291533825
"Para maiwasan ang NCoV, Palakasin ang immune system sabi nga ni Sec. Panelo ""no need to ban Chinese friends, you just need to boost your immune system"", so tayo na po ang mag adjust. -Baka hindi pa nakainom ng gamot si Tatang. Paka obob. Before and After. ",maiwasan ncov palakasin immune system nga sec panelo need ban chinese friends need boost immune system adjust baka nakainom gamot tatang paka obob,2020-03-16,11:43:44+00:00,https://twitter.com/nixnax18/status/1239517705876557824
"Sa panahon na kumakalat ang COVID-19, paano tayo makakaiwas sa sakit? Me: Makakaiwas sa sakit? Nakoo hindi ko alam eh. Kasi nung nasaktan ako hindi ako nakaiwas eh. Hindi ka talaga makakaiwas sa sakit.",kumakalat covid makakaiwas sakit makakaiwas sakit nakoo alam kasi nasaktan nakaiwas makakaiwas sakit,2020-03-16,11:33:34+00:00,https://twitter.com/MarkArtugz/status/1239515147049119744
Di rin totoo yung pag inom ng hot vinegar or lemon will kill COVID Di rin totoo yung paghold ng breath eme for detecting COVID nkklk ,rin totoo hot vinegar lemon kill covid rin totoo paghold breath eme detecting covid nkklk,2020-03-16,09:01:18+00:00,https://twitter.com/rickrollvicvb/status/1239476827938099200
Tangina tigas ng tae ko punyetang saging ampotangina gamot daw sa ncov pinakain kami nang pinakain,tigas tae punyetang saging ampotangina gamot daw ncov pinakain pinakain,2020-03-16,08:14:46+00:00,https://twitter.com/LadyDaniellaM/status/1239465117172916224
Yung mama ko atsaka tita ko pinaguusapan nila kanina na uminom daw ng whiskey o kaya gin para iwas dapo daw ng covid haha,mama atsaka tita pinaguusapan kanina uminom daw whiskey gin iwas dapo daw covid,2020-03-16,07:53:54+00:00,https://twitter.com/ReynaRentoria/status/1239459865497497602
"DS Villafuerte enjoins people not to panic and reminds that COVID-19 can be defeated through discipline, obedience, and cooperation.",ds villafuerte enjoins people panic reminds covid defeated discipline obedience cooperation,2020-03-16,07:44:53+00:00,https://twitter.com/kim_badbadon/status/1239457594495758336
About last night... Alcohol... How we fight Covid 19 @Multinational Village https://www.instagram.com/p/B9yShvpBfv8c4kbwgtgAbPBaKzNYaLtUIeCwxg0/?igshid=1urj2xvtdu48y,last night alcohol fight covid village,2020-03-16,07:15:16+00:00,https://twitter.com/lynchburg120/status/1239450140978577409
"According to this boy genius @collegeboymnl, sensationalized daw at di naman serious ang covid-19. Tsaka ang mamamatay lang naman daw ay adik na squatter. If this wasn’t proof that Phil education was a big failure, then I don’t know what is. ",according boy genius sensationalized daw serious covid tsaka mamamatay daw adik squatter wasnt proof phil education big failure dont know,2020-03-16,05:24:44+00:00,https://twitter.com/PINOYthruNthru/status/1239422324941545472
"Don’t panic guys, let us all cooperatate & pray. Observe proper hygeine, regular handwashing, practice coughing etiquette, always sanitize, eat your food & take vitamins. #KayaNatinTo #FilipinoTayo #StaySafe #Covid19 #CoronaVirus #Ncov",dont panic guys let us cooperatate pray observe proper hygeine regular handwashing practice coughing etiquette always sanitize eat food vitamins,2020-03-16,05:01:03+00:00,https://twitter.com/tatssalvatore/status/1239416363782778880
Kainin nyo tong banana dito oh sakto bagong gising ako iwas ncov,kainin nyo banana sakto bagong gising iwas ncov,2020-03-16,04:07:27+00:00,https://twitter.com/itsmefuckingjoe/status/1239402877744861184
sana umulan ng isopropyl alcohol para mawakasan tong coronavirus,umulan isopropyl alcohol mawakasan coronavirus,2020-03-15,21:38:11+00:00,https://twitter.com/Kaiserenity/status/1239304913613549569
PLEASE SHARE. Ang bleach na inihalo sa tubig ay mahusay na pamatay sa virus pero PLEASE - HUWAG ILAGAY ANG BLEACH solution sa basyo ng mineral water o lalagyan ng tubig. Meron na pong kaso nang nakainom ng bleach solution na naospital. #COVID_19,please share bleach inihalo tubig pamatay virus please bleach solution basyo mineral water lalagyan tubig meron pong kaso nakainom bleach solution naospital,2020-03-15,15:03:36+00:00,https://twitter.com/ceciledoc/status/1239205613743177732
"Aba’y isang karangalan sa akin Ang magpresidente Ng Pilipinas Kung Yan Ang nais Ng Duterte trolls. Kung ako Presidente Ng Pilipinas at Hindi Ng China, Ito Ang aking mga gagawin Laban sa Coronavirus 1. Palayasin lahat Ng mga Instik at ipatigil lahat Ng mga POGOs 2. Gastusin Ang...",abay karangalan magpresidente pilipinas yan duterte trolls presidente pilipinas china coronavirus palayasin instik ipatigil pogos gastusin,2020-03-15,14:16:52+00:00,https://twitter.com/CofradiaSanta/status/1239193854340825088
"The more na magpupuyat ang isang tao, mas lalong bumababa ang immune system niya. So basically mas magiging prone siya na mahawaan ng Covid-19.",magpupuyat tao lalong bumababa immune system basically magiging prone mahawaan covid,2020-03-15,13:42:51+00:00,https://twitter.com/mjbocado/status/1239185292684189696
"Mga ahenteng covid proof jan, sabay sabay tayong umawiiiiiiiit. #COVIDー19",ahenteng covid proof jan sabay sabay tayong umawiiiiiiiit,2020-03-15,13:15:36+00:00,https://twitter.com/daneyellkeyt/status/1239178435374678018
Covid-19 kalang kame Call Center agent kme ,covid kalang call center agent kme,2020-03-15,12:54:04+00:00,https://twitter.com/Bitch980/status/1239173014484217857
