tweet,clean,topic
Wonder how many full blown alchohlics are going to be produced with this lockdown and how many coke dealers are going to go out of biz thoughts and prayers #coronavirus #CoronaCrisis,wonder many full blown alchohlics going produced lockdown many coke dealers going thoughts prayers,1
Unless that is the intent... make the fighting of Covid as costlier as possible so they have more rooms to pocket money.,unless intent make fighting costlier possible rooms pocket money,1
Ang di ko maintindihan bakit may mga tindahan na ayaw magpa pasok kung di ka naka-mask? This is applicable sa may sakit lang. Di po airborne ang COVID-19.,maintindihan tindahan ayaw magpa pasok naka applicable sakit airborne,1
"@FrankCaliendo remember at the end of War of the Worlds the speech Morgan Freeman gave that the aliens were dead the minute they drank our water ate our food breathed our air, and humans have earned our protection from disease after millions of years so what gives #CoronaVirus",remember worlds speech morgan freeman gave aliens dead minute drank water food breathed humans earned protection disease millions years gives,1
People of the Philippines has a new game: Padamihan ng infected peeps... So whos winning na? Q.C.? The more labas the more chances of winning! So labas na... Gala na... NCOV na! #NCOV #InfectionGame #CarrierGame,people philippines game padamihan infected peeps whos winning labas chances winning labas gala,1
"Nakakagago. Parang hundi naman worth ng panic ng buong mundo yung COVID-19 na yan. It’s just like any other flu. Mas matagal lang yung recovery period, but you’,ll get better from it, lalo na kung wala kang problema sa health mo. ",nakakagago parang hundi worth buong mundo like matagal recovery period better lalo kang problema health,1
State of calamity ba dahil ba sa coronavirus o sa Duterte Veerus!?! I really wanna know... ,state calamity duterte veerus really know,1
"That’s really terrible. And we also have this theory that it’s possible that people who got sick (flu-like symptoms) around last few months of 2019 were probably infected with COVID-19 but it wasn’t known yet. I had the same symptoms last year, twice on Nov and Dec. Scary shit.",thats really terrible theory possible people sick like symptoms around last months probably infected wasnt known symptoms last year twice scary shit,1
COVID 19 WARNING: GOVERNMENT IS DANGEROUS TO YOUR HEALTH!!!!!!,warning government dangerous health,1
Di rin totoo yung pag inom ng hot vinegar or lemon will kill COVID Di rin totoo yung paghold ng breath eme for detecting COVID nkklk ,totoo vinegar lemon kill totoo paghold breath detecting nkklk,1
"Aba’y isang karangalan sa akin Ang magpresidente Ng Pilipinas Kung Yan Ang nais Ng Duterte trolls. Kung ako Presidente Ng Pilipinas at Hindi Ng China, Ito Ang aking mga gagawin Laban sa Coronavirus 1. Palayasin lahat Ng mga Instik at ipatigil lahat Ng mga POGOs 2. Gastusin Ang...",abay karangalan magpresidente pilipinas duterte trolls presidente pilipinas china palayasin instik ipatigil pogos gastusin,1
"The more na magpupuyat ang isang tao, mas lalong bumababa ang immune system niya. So basically mas magiging prone siya na mahawaan ng Covid-19.",magpupuyat lalong bumababa basically magiging prone mahawaan,1
"Hindi alcohol o face mask ang solusyon para makaiwas sa Covid-19, kundi DISIPLINA.",solusyon makaiwas kundi disiplina,1
"Napaisip ako bigla, sa dami ng virus na dumaan sa Pilipinas parang wala pang nabalitang pulubi or taong lansangan na infected ng virus samantalang mga mayaman o may normal life na laging nagpapanic sila pa yung affected.. #Covid_19PH",napaisip bigla dami dumaan pilipinas parang nabalitang pulubi taong lansangan infected samantalang mayaman normal life laging nagpapanic affected,1
Quezon City is now in state of calamity amid Covid-19 Them: Panic Buying Me: #lockdown #Covid_19,quezon city state calamity amid buying,1
"If youll ask me hows the situation here in MM. Well, work is life pa din talaga. covid ka lang, alipin kami ng salapi! Hahaha ",youll hows situation well work life alipin salapi,1
Subscribe to our YouTube Channel https://www.youtube.com/channel/UCN67HI8vGRVCY-Jkgqz8kZQ Like us on Facebook https://www.facebook.com/BuhayCallCenterAgent Admin Jao #ncov #ncov2019 #covid19 #lockdown #corona… https://www.instagram.com/p/B9qYBSanN3m/?igshid=10n81fix9d779,subscribe youtube channel like facebook admin,1
Tulog naman na yung mga bata di ba? I honestly want to cuddle tonight: Him in white undies Hairy Legs Love Handles and Belly Happy Trail Moderate to Hairy Armpit Just pure cuddle lang But safety precautions tayo due to CoVid-19 and wala rin naman tayong jowa.,tulog bata honestly cuddle tonight white undies hairy legs love handles belly happy trail moderate hairy armpit pure cuddle safety precautions tayong jowa,1
"Me to my best friends: ""We can’t beso, hold hands or hug because of the NCOV. Them: ""Whatever. "" Then gives me a tight hug, beso and holds my hand while walking. ",best friends cant beso hold whatever gives tight beso holds hand walking,1
May nag joke samin dito na tindera: T1: *umubo* T2: oh may sakit ka? T1: oo eh sakit ng lalamunan ko T2: hala baka may ncov ka!..hahahaha joke! Gago amp lahat kami nag tinginan bigla hahahhaa wag naman po sana kayo mag joke ng ganyan nakakakaba eh hahahahhapotek,joke tindera umubo sakit sakit lalamunan hala baka joke tinginan bigla hahahhaa joke ganyan nakakakaba hahahahhapotek,1
"Fake news may make you perpetually immune to the coronavirus Once it kills you, you will never suffer from it again ",fake news make perpetually kills never suffer,1
Grabe din talaga no? Ayaw nyo pang sabihin kung sino possible na na expose sa covid-19! Ingat sa mga natitirang friends sa madocs huhuhu.,grabe ayaw possible expose natitirang friends madocs,1
"Dito lang sa Pilipinas yung NCOV yung issue but there are a lot of articles written about rich vs poor, smart vs stupid. Let us all focus on the main issue and not create other issues like how rich can hoard and the poor will suffer. ",pilipinas issue articles written rich poor smart stupid focus main issue create issues like rich hoard poor suffer,1
"Filipinos over reacting with NCOV. Viruses be like: Ebola, SARS, MERSCOV are we joke to you? I read several articles, and media is over sensationalising this issue. If you will die, face it. Death is inevitable and doon naman tayo papunta. Proper education, bitches.",filipinos reacting viruses like ebola sars merscov joke read several articles media sensationalising issue death inevitable papunta proper education bitches,1
HAHAHHA ARAT COVID LANG YAN GALA TAYO,hahahha arat gala,1
I wonder if the UK health minister will count as a super spreader of covid-19. You couldn’t write this shit.,wonder health minister count super spreader couldnt write shit,1
"Everytime paguusapan sa bahay ang COVID, laging may ""Kaya ikaw Lyka, magvitamins ka, wag magpuyat, kumain ng gulay at prutas atbp"" hahahahahaha",everytime paguusapan bahay laging lyka magvitamins magpuyat kumain gulay prutas atbp,1
"Precaution and Preventive Health VS. Covid-19 With the #coronavirus outbreak across the world, whilst we are busy equipping ourselves with physical barrier PPE - masks and hand sanitizer etc, don’t forget to boost your last line of defence - your #ImmuneSystem.",precaution preventive health outbreak across world whilst busy equipping physical barrier masks hand sanitizer dont forget boost last line defence,1
"I think it’s a good thing that PH is super hot again, I mean, they told us COVID-19 has low chances of surviving in this kind of weather temperature, right?",think good thing super mean told chances surviving kind weather temperature right,1
"Hindi sa pagiging tamad, pero sana dito din sa Bulacan. Siguro naman lahat tayo natatakot sa NCOV kaya sana naman mag suspend na NATIONWIDE. Mas mahalaga naman siguro yung kalusugan ng nakararami sa ngayon. Madaming may mahihinang Immune System lalo na mga bata. #COVID2019",pagiging tamad bulacan siguro natatakot suspend nationwide mahalaga siguro kalusugan nakararami madaming mahihinang lalo bata,1
Is the Philippines still COVID-19 -free? Better think twice... ,philippines still free better think twice,1
"Sa korya puro donations ang nababasa ko to aid Ncov, sa philippines warm water nalang tayo guyth, sana Summer na agad. Take care every every every one.",korya puro donations nababasa philippines warm water guyth summer agad every every every,1
I don’t believe that there are only 3 cases of #covid_19 in the Philippines. Just imagine the amount of illegal Chinese workers here. Then factor in the state of our mass transportation and healthcare system. Connect the dots and do the math.,dont believe cases philippines imagine amount illegal workers factor state mass transportation healthcare connect dots math,1
Good amount of people wearing masks in Manila. Don’t they know heat kills coronavirus?,good amount people wearing masks manila dont know heat kills,1
"THE BOSS On location. A month since after the novel coronavirus outbreak. Mallers are back, albeit slowly. For staff, face masks: don’t come to work without it. Malling at a time of coronavirus. Happy Friday folks.… https://www.instagram.com/p/B8ih6cUHgX_/?igshid=1qoku8615qcrf",boss location month since novel outbreak mallers back albeit slowly staff masks dont work without malling time happy friday folks,1
"Hi @agot_isidro as of now, the nCoV being airborne is just a THEORY by 1 Chinese official, and this claim has not been verified nor confirmed with enough suporting evidence. Kindly read this article on Newsweek for clarification: https://www.google.com.ph/amp/s/www.newsweek.com/coronavirus-could-airborne-chinese-official-claims-1486493%3famp=1",airborne theory official claim verified confirmed enough suporting evidence kindly read article newsweek clarification,1
Take extra precaution and boost immune system! Eat well and get enough sleep! 105 patients now being probed for novel coronavirus in PH ,extra precaution boost well enough sleep patients probed novel,1
"I was told a ketogenic diet improves the immune system, thus a good incentive in fighting ncoV.",told ketogenic diet improves thus good incentive fighting,1
"Spectators in the #AustralianOpen Rod Laver arena undeterred by ncoV, without face masks. Absence of hysteria-peddling agents in Melbourne?",spectators laver arena undeterred without masks absence hysteria peddling agents melbourne,1
Informing people that nCoV is less fatal is not downplaying its seriousness. That’s called EDUCATING the people about the real state of affairs on this virus.,informing people less fatal downplaying seriousness thats called educating people real state affairs,1
Who says CORONAVirus is a joke? My new employer does! ,says joke employer,1
This whole nCov scare also has greatly affected iPhone X and XI users. Face ID feature is not working with masks on. Hassle ,whole scare greatly affected iphone users feature working masks hassle,1
Natakot ako bigla habang nagdedeliver Yung Chinese na inuubo iniisip ko agad may coronavirus awiit,natakot bigla nagdedeliver inuubo iniisip agad awiit,1
"Scientists needs to holler at Bruce Willis again to prevent another outbreak. They succeeded in 1996; they also dont want to make the same mistakes. The Army of the Twelve Monkeys were, in fact, not the source of the epidemic #coronavirus",scientists needs holler bruce willis prevent another outbreak succeeded dont make mistakes army twelve monkeys fact source epidemic,1
Gong Xi Fa Cai! Happy Chinese New Year to my chinoy friends. Except dun sa mga chinese na umihi sa ayala at dun sa mga nagkalat ng CoronaVirus ,gong happy year chinoy friends except umihi ayala nagkalat,1
Kung Hei Fat Choi sa mga kaibigan nating instek na nag kalat ng virus at sakit Happy Chinese New year! #coronavirus #ChineseNewYear #CNY2020 #YearoftheRat #ChineseNewYear2020,choi kaibigan nating instek kalat sakit happy year,1
"MASK ON AND PREVENT CORONAVIRUS _ Dr. Yuen Kwok Yung, a highly respected doctor during the previous SARS period gave the following advice. 1. He suggests to try to avoid going to China during this period of time.… https://www.instagram.com/p/B7tAsYRHAxl/?igshid=r82oj8wdlhra",prevent yuen kwok highly respected doctor previous sars period gave following advice suggests avoid going china period time,1
"This coronavirus really scares me. It is spreading across borders. We are now in that period of extinction. Pero baka naman ihian lang ni Digong ‘to, mawawala na ano po mga ka-DDS?",really scares spreading across borders period extinction baka ihian digong mawawala,1
"We support the Philippine government’s effort to contain the spread the COVID-19. In this light, our clinic will be CLOSED until further notice. Kindly contact us for online consultation, scheduling of treatments,… https://www.instagram.com/p/B90csbbp_3T/?igshid=10bkgfyby8ggz",support philippine governments effort contain spread light clinic closed notice kindly contact online consultation scheduling treatments,2
Nothing to PANIC Nothing to WORRY HE is with us I have survive CANCER THEN I will survive COVID-19 #trustinHIM @Resurrection of Our Lord Parish (ROLP) - Paltok https://www.instagram.com/p/B9og4kwn6KRRrNZkFe6CNCDNWp2kNuzY6I35A00/?igshid=1rxlwfjtemdkw,nothing nothing worry survive cancer survive lord parish rolp paltok,2
"Today I learned that PGH will be designated as a CoVid center of NCR. Today I learned that one of my previous intern, now a resident from my previous hospital was intubated after experiencing difficulty of breathing. Today I learned that 2 of my previous mentors were confined. ",today learned designated center today learned previous intern resident previous hospital intubated experiencing difficulty breathing today learned previous mentors confined,2
Kasing bilis ng Ncov,kasing bilis,2
"TB is a bacterial infection, nCoV is viral. Kaya trending sya ngayon. Paki-RT mga DDS! #0202 #02022020",bacterial infection viral trending paki,2
The flu yung pumapasok sa isip ko pag covid 19 yung pinaguusapan,pumapasok isip pinaguusapan,2
Tan asks Duque about the person under investigation for possible 2019-nCoV infection who died due to pneumonia.,asks duque person investigation possible infection died pneumonia,2
"To all the Frontliners, We appreciate all that you do! Praying for everyone’s safety as you battle against COVID-19. #FlattenTheCurve",frontliners appreciate praying everyones safety battle,2
"As COVID-19 hits, pollution stops and our Mother Earth heals. Praying for everyone’s safety. IG: @noelontheroad ",hits pollution stops mother earth heals praying everyones safety,2
"#AranetaCityUpdates For everyone’s safety and in support of the government directives to help prevent the spread of COVID-19, we are temporarily closing our 3 Malls - Gateway Mall, Ali Mall and Farmers Plaza starting today, March 16, 2020. ",everyones safety support government directives help prevent spread temporarily closing malls gateway mall mall farmers plaza starting today march,2
"As COVID-19 hits, pollution stops and our Mother Earth heals. Praying for everyone’s safety. More photos on IG: @noelontheroad",hits pollution stops mother earth heals praying everyones safety photos,2
tatay: tamang tama nag resign ka dahil sa ncov naku me: advance ako mag isip t: naknampota hahahaha mga tirada mo chet ,tatay tamang tama resign naku advance isip naknampota tirada chet,2
"Fam, with regards to the STRICT SOCIAL DISTANCING measures now pero worried on what to do & HAVE BEEN EXPERIENCING SYMPTOMS similar to COVID - my DM is open for inquiries &amp; questions. This is the least that I can do to help. I’m not in the frontline but I’m attending to my Tito +",regards strict social distancing measures worried experiencing symptoms similar open inquiries questions least help frontline attending tito,2
nabubulok na ko sa binangonan anunaa tangina covid 19 bwisit ka,nabubulok binangonan anunaa bwisit,2
"hoy @pearlblnctmo bait,talino tas chix tas sarap mo pa arat na inom na, covid lang yan sus HAHAHAHAHA jk, ss sa inyo duke covid lang yan teh char Keep slaying siz, more walwalan to come!! ",bait talino chix sarap arat inyo duke char keep slaying walwalan,2
Parang mas kailangan pa atang i-suggest na wag maniwala at magshare sa fakenews abt NCOV kesa sa pagsusuot ng face mask...,parang atang suggest maniwala magshare fakenews kesa pagsusuot,2
"Tagging the local and national government, kung pwede po ay magtotal lockdown muna or magsuspend ng mga pasok para kahit papaano hindi lalaganap ang Covid-19, hihintayin pa ba natin hindi makayanan tugunan ng mga experto bago tayo kikilos? ",tagging local national government pwede magtotal lockdown muna magsuspend pasok papaano lalaganap hihintayin natin makayanan tugunan experto kikilos,2
"Akala nating Pinoy, di tayo tatamaan ng CoVid 19, dahil malakas ang resistensya natin, napakainit dito, mahilig tayo maligo. Yun pala, wala lang tayong testing kits. Kelan lang dumating.. ",akala nating pinoy tatamaan malakas resistensya natin napakainit mahilig maligo pala tayong testing kits kelan dumating,2
"Mas nakakatakot ang lockdown kesa sa covid. (@University Of Perpetual Help Dalta Medical Center - @uphmclaspinas in Las Pinas City, NCR, Philippines) ",nakakatakot lockdown kesa perpetual help dalta medical center pinas city philippines,2
Tangina tigas ng tae ko punyetang saging ampotangina gamot daw sa ncov pinakain kami nang pinakain,tigas punyetang saging ampotangina gamot pinakain pinakain,2
"Don’t panic guys, let us all cooperatate & pray. Observe proper hygeine, regular handwashing, practice coughing etiquette, always sanitize, eat your food & take vitamins. #KayaNatinTo #FilipinoTayo #StaySafe #Covid19 #CoronaVirus #Ncov",dont guys cooperatate pray observe proper hygeine regular handwashing practice coughing etiquette always sanitize food vitamins,2
"Mga ahenteng covid proof jan, sabay sabay tayong umawiiiiiiiit. #COVIDー19",ahenteng proof sabay sabay tayong umawiiiiiiiit,2
Covid-19 kalang kame Call Center agent kme ,kalang call center agent,2
Ewan ko na lang kung tamaan pa ko ng ncov na yan puro alcohol na iniinom ko HAHAHAHA,ewan tamaan puro iniinom,2
"Right Camille. Expected iyung negative kahit positive result. Iyun ngang SWS surveys ginagamot, e iyun pang COVID testing! Nagsisipagpasikat lang. Iyun lang ang alam nilang gawin! Governance? It’s a Greek word to this Administration of hunghang people!",right camille expected iyung negative positive result ngang surveys ginagamot testing nagsisipagpasikat alam gawin governance greek word administration hunghang people,2
Ano ang gagawin ng mga sundalong ito? Babarilin ang covid-19? Akala ko ba sasampalin na lang ni Duterte? ,sundalong babarilin akala sasampalin duterte,2
"Anti-Duterte: ""#Covid_19PH is caused by the government and the president should die from the virus"" Me: don’t just wash your hands, wash your mouth too!",anti duterte caused government president dont wash wash mouth,2
"Mom :: nagkakaubusan na ng alcohol at Lysol dito sa Bataan, kaya yung GSM Mojito yung ginamit ko panlinis sa lababo at lamesa. Me :: WHAAAAAAAT!!!!!! #COVID_19PH #coronapocalypse",nagkakaubusan lysol bataan mojito ginamit panlinis lababo lamesa whaaaaaaat,2
"𝙏𝙖𝙠𝙚 𝙚𝙭𝙩𝙧𝙖 𝙘𝙖𝙧𝙚, 𝙚𝙫𝙚𝙧𝙮𝙤𝙣𝙚 ⠀ ⠀ • Bulk up on vitamins &amp; fruits⠀ • Wash your hands / sanitize⠀ • Stay indoors if possible / wear your mask⠀ • Share correct info on COVID-19 from⠀ reputable sources⠀ ⠀ With… https://www.instagram.com/p/B9qjlTzJSnK/?igshid=cm46ryvwy7ts",bulk vitamins fruits wash sanitize indoors possible wear share correct info reputable sources,2
ligo lang BEh iWas coVid,ligo iwas,2
"SHOUT OUT SA ALCOHOL HOARDERSzzz char. Di nyo ikakasalba ang pag ligo ng alcohol. Bakit? Hand washing padin po ang pinaka effective na pagiwas sa #COVID2019 At tutal inubos nyo na, paano ung iba? Eh hawahan yan. Gluck! Susundan ka padin ni Mareng Covid kalamo!! ",shout hoarderszzz char ikakasalba ligo hand washing padin pinaka effective pagiwas tutal inubos hawahan gluck susundan padin mareng kalamo,2
Nothing to PANIC Nothing to WORRY HE is with us I have survive CANCER THEN We will survive COVID-19 #trustinHIM @Resurrection of Our Lord Parish (ROLP) - Paltok https://www.instagram.com/p/B9og4kwn6KRRrNZkFe6CNCDNWp2kNuzY6I35A00/?igshid=4h40qp83nabv,nothing nothing worry survive cancer survive lord parish rolp paltok,2
Hambal ni ate yvonne gina dupihan ko nga inom para indi ko mag ka NCOV because may alcohol content man! Hahahhahaha! Pota ginhimo vitamins ang cuervo?,hambal yvonne gina dupihan content hahahhahaha pota ginhimo vitamins cuervo,2
"“There is nCov cause people are away from God na” Shut tf up Susan, there is ncov because of some shit likes to eat a fucking bat. Now wash your hands like the Philippine government.",cause people away shut susan shit likes fucking wash like philippine government,2
"The CDC and physicians have put out there don’t touch your face, wear a mask and wash you hands had there been any directives about banging, eating ass and blowjobs has that all stopped as well? Me thinks not #coronavirus #CoronaVirusUpdate",physicians dont touch wear wash directives banging eating blowjobs stopped well thinks,2
"likaaaaaa, tas inom iwas ncov char",likaaaaaa iwas char,2
Parang ako lang pinoy sa moa kanina. Puro chinese amp. Hello ncov,parang pinoy kanina puro hello,2
Hoy COVID di ka ba lab ng nanay mo???? Epal ka masyado. Umalis ka dito ha! Layuan mo yung bansang earth hahaha,nanay epal umalis layuan bansang earth,2
"Yung nawisikan ng alcohol mata, ang hapde ...iwas covid nga, muntikan namang mabulag kaka alcohol ",nawisikan mata hapde iwas muntikan namang mabulag,2
"ampalaya + monggo tngina sarap, mapapalaban talaga sa ncov",ampalaya monggo tngina sarap mapapalaban,2
"I stopped touching my face eversince I learned how to use makeup and that was 20 years ago. So, no, I don’t think I will get infected with COVID-19.",stopped touching eversince learned makeup years dont think infected,2
Ge palakasan na lang resistensya ncov hayup ka,palakasan resistensya hayup,2
And your point is??? At least manageable siya. E ang coronavirus?,point least manageable,2
"Grabe na yung Ncov kakaloka, ugaliin ang proper hand washing tas mag VitC lagi. Wag din daw mag panic kasi balita ko immune daq sa virus yung mga pretty CHAROT",grabe kakaloka ugaliin proper hand washing vitc kasi balita pretty charot,2
"Parang ansarap maginom, iwas ncov hahaha",parang ansarap maginom iwas,2
"Hello!!! So our prof said that take vitamins with ZINC, it can help you prevent coronavirus ",hello prof said vitamins zinc help prevent,2
Viral and Bacterial infection are on the rise such as NCOV. For only Php 1750 per year you will get covered for 100K through Insular Health Care. Make sure you and your loved are protected. DM me to know more about… https://www.instagram.com/p/B9eGEV_ALvn/?igshid=gd4xvarb0cn1,viral bacterial infection rise year covered 100k insular health make sure loved protected know,2
I drank alcohol to prevent me from contacting COVID-19 ,drank prevent contacting,2
A more effective way than wearing a face mask everyday to prevent ourselves from coronavirus #SpreadAwareness – at Sunz En Coron Resort,effective wearing everyday prevent sunz coron resort,2
"I have watched this TikTok video and the nurse says we can’t protect ourselves from the nCoV by wearing masks. Kung sino lang ang may sakit, ayun lang magmask para ’di makahawa. And we, unaffected piece of shit should practice correct ways of washing our hands.",watched tiktok video nurse says cant protect wearing masks sakit ayun magmask makahawa unaffected piece shit practice correct ways washing,2
Retweet if you think the number of COVID 19 patients from the Philippines is UNDETECTED. ,retweet think number patients philippines undetected,2
Wala namang COVID-19 sa Tanglaw at Angono – at TV5 Media Center,namang tanglaw angono media center,2
maxado sensationalize ncov n yan tignan mo s balita mxado mainit ang issue pero ang.mga tao tuloy lang ang buhay,maxado sensationalize tignan balita mxado mainit issue tuloy buhay,2
Forget Duterte. Si Quiboloy ang kailangan natin para sabihan ang nCoV ng: ISTAHP!,forget duterte quiboloy natin sabihan istahp,2
It’s not about the dining culture and habits. There is no proof that this is the cause of the nCoV. I still believe the cause is the chinese govt biological warfare programs.,dining culture habits proof cause still believe cause govt biological warfare programs,2
Here at Cunanan Orthodental Clinic We ensure our patients “SAFETY” Because we care!! Due to the outbreak of the new strain of coronavirus “NCov” We only used hi-potent sanitizer:… https://www.instagram.com/p/B7-vhuiHGWJ3VISw_CXjXDsZbSf04TUEdrdviY0/?igshid=1hghc3gvegxek,cunanan orthodental clinic ensure patients safety outbreak strain used potent sanitizer,2
"Are you stupid or something? He just collapsed from for all we know any ailment. Since he’s Chinese and wearing a mask, you assume it’s coronavirus immediately? Then tweet that they’ll die? Stop spreading speculation and fake news. If you can’t help, just shut it! ",stupid something collapsed know ailment since wearing assume immediately tweet theyll stop spreading speculation fake news cant help shut,2
Tips on proper weaeing of face mask 1. Colored side of the mask faces outward and the white side of the mask is facing towards the face. 2. Gently press the thin metal wire agains the bridge of the nose. #STOPnCoV #Coronavirus #stopcoronavirus,tips proper weaeing colored side faces outward white side facing towards gently press thin metal wire agains bridge nose,2
Ambilis. Friday na. Kasing bilis din ng pagdating ng ncov ,ambilis friday kasing bilis pagdating,2
Mr. President where are you na? Paki ihian na yung NCov.,president paki ihian,2
"At this point common courtesy na lang dapat ang mag-mask. Marumi naman talaga ang ere sa Maynila, at most likely nga lumiliguy-ligoy na yung coronavirus satin matagal na. Nare-report lang ang severe cases pag talagang grabe na.",point common courtesy marumi maynila likely lumiliguy ligoy satin matagal nare report severe cases talagang grabe,2
"sa totoo lang, hindi coronavirus ang papatay sating lahat. yung pagiging incompetent at pagiging negligent ng gobyerno natin yung papatay satin ",totoo papatay sating pagiging incompetent pagiging negligent gobyerno natin papatay satin,2
Nako nCov abay Tatawanan lang ng mga Pinoy yan Ganyan ka Positibo ang mga Pinoy Ganyann Katatag Ganyan Katatapang Maning mani Hindi Tatablan ang Pinoy sa Ganyang Sakit #Ncov #Corona #KeepSafe #TakutAko,nako abay tatawanan pinoy ganyan positibo pinoy ganyann katatag ganyan katatapang maning mani tatablan pinoy ganyang sakit,2
Sometimes critics can be stupid. They cannot accept that other countries are now experiencing epidemic level while the Philippines is still blemish free from this Ncov. That’s how alert this gov’t is. ,sometimes critics stupid accept countries experiencing epidemic level philippines still blemish free thats alert govt,2
The point it lysol can be used against Ncov even a simple alcohol can be used eh as long as it has ethyl alcohol,point lysol used even simple used long ethyl,2
"PROTECT YOUR SELF AND FAMILIES FROM EPIDEMIC #coronavirus With iPRO-TECT AND ENER-CHI DIFFUSER BUY NOW!! CONTACT ME HERE: 09279143917 LOOK FOR Gemma Cada Badidoy @Mandaluyong City, Manila, Philipines https://www.instagram.com/p/B7zFhYkBjZm/?igshid=bh79gwxejluw",protect self families epidemic ipro tect ener diffuser contact look gemma cada badidoy city manila philipines,2
"May mga chinese nationals kame nakasama kanina sa place na kinainan namen, ncov lang talaga namutawi sa isip ko.",nationals nakasama kanina place kinainan namen namutawi isip,2
"Though we already miss all of you, we are more concerned for your safety and well-being. We have to temporarily close our doors to the public in compliance with the enhanced community quarantine against the COVID-19… https://www.instagram.com/p/B9zFYqdlD6o/?igshid=197nb77l7jlib",though already miss concerned safety well temporarily close doors public compliance enhanced community quarantine,3
Decided to cancel my Macau/Hong Kong trip this February. Disneyland and Ocean Park are temporarily closed. Hoping that this nCov concern will be contained and resolved the soonest. ,decided cancel macau hong trip february disneyland ocean park temporarily closed hoping concern contained resolved soonest,3
CHED directs all higher education institutions (HEIs) to observe these guidelines to prevent the spread of NcoV. This includes discussing among themselves suspending events (ie athletic) that will involve the congregation of students... ,ched directs higher education institutions heis observe guidelines prevent spread includes discussing among suspending events athletic involve congregation students,3
He’s not even showing up mas malala pa yung sakit niya sa utak kaysa sa COVID-19 so he need not to worry about other people touching him coz no one would. (oopsz yung mga tuta niya pala kaya siyang hawakan dahil pare-parehas naman sila) ,even showing malala sakit utak need worry people touching would oopsz tuta pala siyang hawakan pare parehas,3
"Imagine a world where we can’t hug or kiss, we’re preventing ourselves from holding hands, and we engage in intercourse wearing face masks amid our nakedness. Plus, next to our lube and condoms is a bottle of sanitizer or alcohol. This, ppl, is Love in The Time of CoViD 19.",imagine world cant kiss preventing holding engage intercourse wearing masks amid nakedness plus next lube condoms bottle sanitizer love time,3
Trinay ko mag bun ng hair kasi sabi ng prof namin pag naka corpo dapat naka ayos na pati hair. Eh puta nag muka akong chinese. Baka akalain may nCov ako ,trinay hair kasi prof naka corpo naka ayos pati hair puta muka akong baka akalain,3
may sipon lang ako pero wala ako ncov prends ,sipon prends,3
"When you compare Mayor @VicoSotto’s recent tweets to his older ones, you can sense he’s stressed and tired. But what’s admirable is he’s still very much in control. Unlike certain senators whose biggest problem during this covid-19 lock down is being made to wash the dishes.",compare mayor recent tweets older ones sense stressed tired whats admirable still much control unlike certain senators whose biggest problem lock made wash dishes,3
